item_id,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,year,month
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,1
4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1995,1
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1995,1
8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996,1
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,1
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,8
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,10
14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1994,1
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,1
16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,1
17,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1996,2
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,1
21,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1996,2
22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996,2
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,2
24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,2
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1
28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,1
29,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,1
30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1967,1
31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1995,1
32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,1
33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1995,1
34,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
35,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,1
37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1995,1
39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1995,1
40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1
41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994,1
44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994,1
45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
47,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,1
49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,1
50,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1977,1
51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1994,1
52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,1
54,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,1
55,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1994,1
56,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,1
61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1994,1
63,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1
64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,1
65,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,1
66,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,1
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1
68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1994,1
69,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1994,1
70,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,1
71,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1994,1
72,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1994,1
73,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,1
74,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1965,1
75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,1
76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1993,1
77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1993,1
78,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,1
79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1993,1
80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1993,1
81,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,1
82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1993,1
83,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,1
84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1994,1
85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1
86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,1
87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,1
88,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,1
89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1982,1
90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1993,1
91,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1993,1
92,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1993,1
93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,5
94,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,1
95,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1992,1
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1991,1
97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1990,1
98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1991,1
99,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1937,1
100,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1997,2
101,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1981,3
102,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,1
103,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1996,3
104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3
105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,3
106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,1
107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,6
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,4
109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1996,4
110,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1995,1
111,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,4
112,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,5
113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,4
114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,4
115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1996,4
116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,4
117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,6
118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,5
119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,1
120,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,6
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1996,7
122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,6
123,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,7
124,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1996,6
125,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,6
126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,9
127,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1972,1
128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,7
129,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1996,10
130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,8
131,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1961,1
132,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1939,1
133,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1939,1
134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1941,1
135,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1968,1
136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1939,1
137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,9
138,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,10
139,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1
140,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1
141,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1954,1
142,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1971,1
143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1965,1
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1988,1
145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1992,1
146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,10
147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,10
148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,10
149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,11
150,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,10
151,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1
152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1973,1
153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1
154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,1
155,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1987,1
156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1992,1
157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1986,1
158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,1
159,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1992,1
160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1992,1
161,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1986,1
162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1981,1
163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,1
164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1989,1
165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1986,1
166,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1986,1
167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1
168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,1
169,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1
170,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1988,1
171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1991,1
172,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1980,1
173,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1987,1
174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1985,1
176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1986,1
177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1966,1
178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1957,1
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1971,1
180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1979,1
181,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1997,3
182,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1990,1
183,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1979,1
184,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1993,1
185,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1960,1
186,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1980,1
187,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1974,1
188,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1987,1
189,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,1
190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1989,1
191,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1984,1
192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1980,1
193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1983,1
194,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1973,1
195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1984,1
196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1989,1
197,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1967,1
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,1
199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1957,1
200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,1
201,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1987,1
202,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,1
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1992,1
204,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1985,1
205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1970,1
206,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1988,1
207,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1990,1
208,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1974,1
209,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1984,1
210,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,1
211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1970,1
212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1988,1
213,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1986,1
214,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1982,1
215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1989,1
216,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1989,1
217,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1992,1
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1991,1
219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1984,1
220,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,11
221,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,11
222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1996,11
223,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,11
224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,11
225,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,11
226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,1
227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1991,1
228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1982,1
229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1984,1
230,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1986,1
231,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1992,1
232,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1988,1
233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,1
234,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1975,1
235,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1996,12
236,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,12
237,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,12
238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1
239,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1992,1
240,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,12
241,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1992,1
242,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,1
243,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,3
244,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1997,3
245,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1997,3
246,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1997,1
247,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,3
248,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1997,4
249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,5
250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997,5
251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,7
252,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1997,5
253,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1997,6
254,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1997,6
255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1997,6
256,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1997,6
257,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1997,7
258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1997,7
259,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,1
260,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1997,1
261,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,8
262,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997,8
263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,8
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1997,8
265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,1
266,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,8
268,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1997,1
269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,1
270,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1997,1
271,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1997,1
272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997,1
273,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,1
274,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,1
275,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,1
276,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,1
277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
278,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,1
279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1
280,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,3
281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,1
282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,7
283,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,8
